pais,numero_orden,nombre_jugador
Tunez,TUN26,Sebastian Tounekti
Turquia,TUR1,Bayindir
Turquia,TUR3,Gunok
Turquia,TUR7,Ozan Kabak
Turquia,TUR8,Mert Muldur
Turquia,TUR10,Eren Elmali
Turquia,TUR12,Samet Akaydin
Turquia,TUR15,Orkun Kokcu
Turquia,TUR17,Ismail Yuksek
Turquia,TUR19,Salih Ozcan
Turquia,TUR24,Oguz Aydin
Turquia,TUR25,Deniz Gul
Uruguay,URU2,Fernando Muslera
Uruguay,URU7,Santiago Bueno
Uruguay,URU10,Joaquín Piquerez
Uruguay,URU11,Matías Viña
Uruguay,URU13,Emiliano Martínez
Uruguay,URU16,Agustín Canobbio
Uruguay,URU17,Juan Manuel Sanabria
Uruguay,URU19,Nicolás de la Cruz
Uruguay,URU20,Rodrigo Zalazar
Uruguay,URU22,Maximiliano Araújo
Uruguay,URU23,Brian Rodríguez
Estados Unidos,USA2,Matt Turner
Estados Unidos,USA3,Chris Brady
Estados Unidos,USA4,Max Arfsten
Estados Unidos,USA5,Sergiño Dest
Estados Unidos,USA11,Miles Robinson
Estados Unidos,USA12,Joe Scally
Estados Unidos,USA13,Auston Trusty
Estados Unidos,USA15,Sebastian Berhalter
Estados Unidos,USA20,Gio Reyna
Estados Unidos,USA22,Tim Weah
Estados Unidos,USA23,Alejandro Zendejas
Uzbekistan,UZB1,O’tkir Yusupov
Uzbekistan,UZB2,Botirali Ergashev
Uzbekistan,UZB3,Abduvohid Ne’matov
Uzbekistan,UZB4,Abdukodir Khusanov
Uzbekistan,UZB5,Alijonov
Uzbekistan,UZB6,Farrukh Sayfiev
Uzbekistan,UZB7,Rustam Ashurmatov
Uzbekistan,UZB8,Sherzod Nasrullaev
Uzbekistan,UZB9,Umar Eshmurodov
Uzbekistan,UZB10,Avazbek O’Imasaliev
Uzbekistan,UZB11,Jahongir Orozov
Uzbekistan,UZB12,Behruzjon Karimoov
Uzbekistan,UZB13,Abdulla Abdullaev
Uzbekistan,UZB14,Akmal Mozgovoy
Uzbekistan,UZB15,Otabek Shukurov
Uzbekistan,UZB16,Jamshid Iskanderov
Uzbekistan,UZB17,Odil Hamrobekov
Uzbekistan,UZB18,Jaloliddin Masharipov
Uzbekistan,UZB19,Aziz Ganiev
Uzbekistan,UZB20,Sherzod Esanov
Uzbekistan,UZB21,Abbosbek Fayzullaev
Uzbekistan,UZB22,Eldor Shomurodov
Uzbekistan,UZB23,Igor Sergeev
Uzbekistan,UZB24,Azizbek Amonov
Uzbekistan,UZB25,Oston Urunov
Uzbekistan,UZB26,Doston Khamdamov
