seleccion,orden,jugador,archivo_imagen,archivo_sin_ajustar
Bosnia y Herzegovina,5,Amar Dedic,bih_15_amar-dedig.png,bih0.png
Bosnia y Herzegovina,6,Nihad Mujakic,bih_10-nihad mujakic.png,
Bosnia y Herzegovina,7,Nikola Katic,bih_17_nikola-katic.png,
Bosnia y Herzegovina,8,Tarik Muharemovic,,
Bosnia y Herzegovina,9,Stjepan Radeljic,,
Bosnia y Herzegovina,10,Dennis Hadzikadunic,,
Bosnia y Herzegovina,11,Nidal Celik,,
Bosnia y Herzegovina,12,Amir Hadziahmetovic,bih_01-amir hadziahmetovic.png,
Bosnia y Herzegovina,13,Ivan Sunjic,bih_07-ivan sunjic7.png,
Bosnia y Herzegovina,14,Ivan Basic,bih_11-ivan basic.png,
Bosnia y Herzegovina,15,Dzenis Burnic,bih_14_dzenis-burnic.png,
Bosnia y Herzegovina,16,Ermin Mahmic,bih_13-erimedin demirovic.png,
Bosnia y Herzegovina,17,Benjamin Tahirovic,bih_0-benjamin tahirovic.png,
Bosnia y Herzegovina,18,Amar Memic,bih_03_amar memic.png,
Bosnia y Herzegovina,19,Armin Gigovic,bih_18_armin-gigovic.png,
Bosnia y Herzegovina,20,Kerim Alajbegovic,,
Bosnia y Herzegovina,21,Esmir Bajraktarevic,bih_16_esmir-bajraktarevic.png,
Bosnia y Herzegovina,22,Ermedin Demirovic,,
Bosnia y Herzegovina,23,Jovo Lukic,,
Bosnia y Herzegovina,24,Samed Bazdar,bih_08_samed-bazdar-a.png,
Bosnia y Herzegovina,25,Haris Tabakovic,bih_12_haris-tabakovic-3.png,
Bosnia y Herzegovina,26,Edin Dzeko,bih_04-edin dzekoi.png,bra-01-everton.png
Brasil,1,Alisson,bra_01-alisson becker.png,bra_02_bento.png
Brasil,2,Ederson,bra-01-ederson.png,bra_05_eder-militao.png
Brasil,3,Weverton,,bra_11-luiz-henrque.png
Brasil,4,Marquinhos,bra_03_marquinhos.png,bra_15_estevao.png
