seleccion,orden,jugador
Espana,25,Victor Muñoz
Espana,26,Borja Iglesias
Francia,2,Brice Samba
Francia,3,Robin Risser
Francia,5,Malo Gusto
Francia,9,Lucas Hernández
Francia,12,Maxence Lacroix
Francia,15,N’Golo Kanté
Francia,16,Warren Zaïre-Emery
Francia,23,Marcus Thuram
Francia,24,Maghnes Akliouche
Francia,25,Jean-Philippe Mateta
Francia,26,Rayan Cherki
Alemania,1,Manuel Neuer
Alemania,2,Oliver Baumann
Alemania,3,Alexander Nübel
Alemania,5,Nathaniel Brown
Alemania,6,Pascal Groß
Alemania,10,Nico Schlotterbeck
Alemania,12,Malick Thiaw
Alemania,13,Aleksandar Pavlovic
Alemania,15,Nadiem Amiri
Alemania,16,Jamie Leweling
Alemania,17,Felix Nmecha
Alemania,18,Angelo Stiller
Alemania,20,Lennart Karl
Alemania,22,Deniz Undav
Alemania,23,Kai Havertz
Alemania,24,Maximilian Beier
Ghana,1,Benjamin Asare
Ghana,2,Lawrence Ati-Zigi
Ghana,3,Joseph Anang
Ghana,4,Baba Abdul Rahman
Ghana,5,Gideon Mensah
Ghana,6,Marvin Senaya
Ghana,7,Alidu Seidu
Ghana,8,Abdul Mumin
Ghana,9,Jerome Opoku
Ghana,10,Jonas Adjetey
Ghana,11,Kojo Oppong Peprah
Ghana,12,Derrick Luckassen
Ghana,13,Elisha Owusu
Ghana,14,Thomas Partey
Ghana,15,Kwasi Sibo
Ghana,16,Augustine Boakye
Ghana,17,Caleb Yirenky
Ghana,18,Abdul Fatawu Issahaku
Ghana,19,Kamal Deen Sulemana
Ghana,20,Cristopher Bonsu Baah
Ghana,21,Ernest Nuamah
Ghana,22,Antoine Semenyo
Ghana,23,Brandon Thomas-Asante
Ghana,24,Prince Kwabena Adu
Ghana,25,Iñaki Williams
Ghana,26,Jordan Ayew
Haiti,2,Alexandre Pierre
Haiti,3,Josué Duverger
Haiti,5,Wilguens Paugain
Haiti,8,JK Duverne
Haiti,11,Keeto Thermoncy
Haiti,13,Carl-Fred Sainthe
Haiti,15,Jeanricner Bellegarde
Haiti,16,Pierre Woodenski
Haiti,17,Dominique Simon
Haiti,22,Wilson Isidor
Haiti,25,Yassin Fortune
Haiti,26,Lenny Joseph
Iran,1,Alireza Beyranvand
Iran,2,Hosein Hoseini
Iran,3,Payam Niazmand
Iran,4,Shoja Khalilzadeh
Iran,5,Hosein Kanaani
Iran,6,Ali Nemati
Iran,7,Danial Eiri
Iran,8,Ehsan Hajisafi
Iran,9,Milad Mohammadi
Iran,10,Saleh Hardani
Iran,11,Ramin Rezaeiyan
Iran,12,Saman Ghodoos
Iran,13,Saeid Ezatollahi
Iran,14,Rouzbeh Cheshmi
Iran,15,Amir Mohammad Razagh Niya
Iran,16,Mohammad Ghorbani
Iran,17,Mehdi Ghayedi
Iran,18,Ariya Yousefi
Iran,19,Alireza Jahanbakhsh
Iran,20,Mehdi Torabi
Iran,21,Mohammad Mohebbi
Iran,22,Mehdi Taremi
Iran,23,Amirhossein Hosseinzadeh
Iran,24,Denis Dargahi
Iran,25,Ali Alipour
Iran,26,Shahriyar Moghanloo
Irak,1,Jalal Hassan
Irak,2,Ahmed Basil
Irak,3,Fahad Talib
Irak,4,Hussein Ali
Irak,5,Manaf Younis
Irak,6,Zaid Tahseen
Irak,7,Rebin Sulaka
Irak,8,Akam Hashem
Irak,9,Merchas Doski
Irak,10,Ahmed Yahya
Irak,11,Frans Putros
Irak,12,Mustafa Saadoon
Irak,13,Zaid Ismail
Irak,14,Amir Al Ammari
Irak,15,Kevin Yakob
Irak,16,Zidane Iqbal
Irak,17,Aimar Sher
Irak,18,Youssef Amyn
Irak,19,Ibrahim Bayesh
Irak,20,Ahmed Qasem
Irak,21,Marko Farji
Irak,22,Ali Jasim
Irak,23,Ali Al Hamadi
Irak,24,Ali Yousif
Irak,25,Aymen Hussein
Irak,26,Mohanad Ali
Jordania,1,Nour Bani Attia
Jordania,2,Yazeed Abu Laila
Jordania,3,Abdullah Al-Fakhoury
Jordania,4,Abdullah Naseeb
Jordania,5,Saad Al-Rousan
Jordania,6,Yazan Al-Arab
Jordania,7,Saleem Obeid
Jordania,8,Mohammad Abu Al-Nadi
